attribute_id,entity_id,entity_type,attribute_type,attribute_value,source_date
ATTR000001,CPTY00002,counterparty,registered_address,"Unit 7, Sheikh Zayed Business Centre, AE",2023-01-15
ATTR000002,CPTY00002,counterparty,bank_account,4483d72271277d60,2023-01-15
ATTR000003,CPTY00148,counterparty,registered_address,"Unit 7, Sheikh Zayed Business Centre, AE",2023-01-15
ATTR000004,CPTY00148,counterparty,bank_account,4483d72271277d60,2023-01-15
ATTR000005,CPTY00156,counterparty,registered_address,"Unit 7, Sheikh Zayed Business Centre, AE",2023-01-15
ATTR000006,CPTY00156,counterparty,bank_account,4483d72271277d60,2023-01-15
ATTR000007,CPTY00045,counterparty,registered_address,"Unit 7, Sheikh Zayed Business Centre, AE",2023-01-15
ATTR000008,CPTY00045,counterparty,bank_account,4483d72271277d60,2023-01-15
ATTR000009,CPTY00220,counterparty,registered_address,"Level 3, Marina Commercial Tower, SG",2023-03-10
ATTR000010,CPTY00220,counterparty,bank_account,7ae5d5f7340ad976,2023-03-10
ATTR000011,CPTY00141,counterparty,registered_address,"Level 3, Marina Commercial Tower, SG",2023-03-10
ATTR000012,CPTY00141,counterparty,bank_account,7ae5d5f7340ad976,2023-03-10
ATTR000013,CPTY00218,counterparty,registered_address,"Level 3, Marina Commercial Tower, SG",2023-03-10
ATTR000014,CPTY00218,counterparty,bank_account,7ae5d5f7340ad976,2023-03-10
ATTR000015,CPTY00073,counterparty,registered_address,"Level 3, Marina Commercial Tower, SG",2023-03-10
ATTR000016,CPTY00073,counterparty,bank_account,7ae5d5f7340ad976,2023-03-10
ATTR000017,INTM00034,intermediary,email,contact9629@intm00034.com,2023-12-01
ATTR000018,CUST00086,customer,registered_agent,Global Registrars Inc,2023-03-05
ATTR000019,CPTY00044,counterparty,address,139 Commerce Rd,2020-02-18
ATTR000020,CUST00153,customer,registered_agent,Corporate Nominee Services,2022-07-06
ATTR000021,CPTY00132,counterparty,address,27 Commerce Rd,2023-07-12
ATTR000022,CPTY00151,counterparty,address,75 Dock Ln,2024-04-23
ATTR000023,INTM00006,intermediary,registered_agent,Formation Agents Ltd,2022-11-08
ATTR000024,CPTY00203,counterparty,address,257 Commerce Rd,2023-08-30
ATTR000025,CUST00121,customer,email,contact7816@cust00121.com,2022-03-20
ATTR000026,CUST00101,customer,address,225 Harbour Way,2022-04-14
ATTR000027,CPTY00250,counterparty,phone,+34 5330208,2021-04-15
ATTR000028,CPTY00057,counterparty,phone,+28 1114116,2024-07-25
ATTR000029,CUST00048,customer,address,50 Commerce Rd,2024-11-10
ATTR000030,CPTY00221,counterparty,phone,+33 4635033,2020-06-07
ATTR000031,CPTY00135,counterparty,phone,+25 8228964,2020-04-14
ATTR000032,CUST00013,customer,phone,+78 8502368,2022-07-10
ATTR000033,CPTY00200,counterparty,address,101 Commerce Rd,2023-04-04
ATTR000034,CPTY00115,counterparty,phone,+62 6901246,2024-08-15
ATTR000035,CPTY00119,counterparty,phone,+95 4606448,2023-05-08
ATTR000036,CPTY00240,counterparty,email,contact8359@cpty00240.com,2022-04-22
ATTR000037,CPTY00061,counterparty,registered_agent,Global Registrars Inc,2022-06-01
ATTR000038,CPTY00044,counterparty,phone,+70 6565121,2020-05-20
ATTR000039,CPTY00120,counterparty,registered_agent,Corporate Nominee Services,2020-07-06
ATTR000040,CUST00096,customer,registered_agent,Global Registrars Inc,2020-06-01
ATTR000041,CUST00074,customer,phone,+82 3518458,2024-08-03
ATTR000042,CPTY00230,counterparty,phone,+23 4208055,2022-08-01
ATTR000043,CUST00105,customer,email,contact9349@cust00105.com,2020-12-16
ATTR000044,CPTY00065,counterparty,registered_agent,Global Registrars Inc,2020-08-17
ATTR000045,CUST00131,customer,registered_agent,Global Registrars Inc,2023-01-20
ATTR000046,CUST00112,customer,email,contact1120@cust00112.com,2021-02-02
ATTR000047,CPTY00110,counterparty,email,contact3922@cpty00110.com,2020-01-17
