counterparty_id,legal_name,registration_number,country,entity_type,first_seen_date,registered_address,contact_email,contact_phone,bank_account_hash
CPTY00001,Larkspur Imports LLC,,VN,supplier,2020-03-05,"Unit 13, Commerce Blvd, VN",info1@cpty1.com,+55 677 2905,5776114e7987e437
CPTY00002,Fenwick Trading Co,CN301231,AE,supplier,2023-08-13,"Unit 7, Sheikh Zayed Business Centre, AE",info2@cpty2.com,+74 836 7106,4483d72271277d60
CPTY00003,Copperfield Freight Sdn Bhd,,JP,supplier,2024-07-26,"Unit 7, Commerce Blvd, JP",info3@cpty3.com,+49 277 1304,d9ee03a230852584
CPTY00004,Copperfield Overseas Pte Ltd,CN492386,CN,buyer,2022-03-31,"Unit 10, Harbour Rd, CN",info4@cpty4.com,+62 714 7952,67ad1c6e2e3d4755
CPTY00005,Coldwell Overseas Inc,,QA,buyer,2022-07-27,"Unit 46, Free Trade Ave, QA",info5@cpty5.com,+94 547 8461,07e4b99f89092023
CPTY00006,Northfield Holdings Pte Ltd,ZA932465,ZA,supplier,2022-05-16,"Unit 25, Industrial Zone, ZA",info6@cpty6.com,+71 349 8605,0d5f99bf5553a1ef
CPTY00007,Delta Logistics Sdn Bhd,JP743722,JP,supplier,2020-05-23,"Unit 48, Industrial Zone, JP",info7@cpty7.com,+6 638 9462,67ba6cace492fc0e
CPTY00008,Stonebridge Commodities FZE,KR915311,KR,agent,2022-12-11,"Unit 10, Harbour Rd, KR",info8@cpty8.com,+65 942 1505,60923a7d1a56002b
CPTY00009,Fenwick Logistics Pte Ltd,,DE,supplier,2023-06-06,"Unit 4, Commerce Blvd, DE",info9@cpty9.com,+53 801 6780,65caad21d107174f
CPTY00010,Ironwood Manufacturing SA,PT944397,PT,supplier,2024-05-29,"Unit 31, Free Trade Ave, PT",info10@cpty10.com,+87 515 7142,9620af22ff0220a0
CPTY00011,Westbrook Holdings LLC,KR475527,KR,buyer,2024-06-02,"Unit 25, Industrial Zone, KR",info11@cpty11.com,+42 884 2074,54949d804f40b794
CPTY00012,Amber Trading LLC,PT737968,PT,buyer,2022-05-03,"Unit 4, Harbour Rd, PT",info12@cpty12.com,+25 186 7318,b13d4c6330996782
CPTY00013,Oakbridge Manufacturing LLP,UK75680268,GB,buyer,2024-07-22,"Unit 9, Commerce Blvd, GB",info13@cpty13.com,+23 385 8528,a6010319624fdc39
CPTY00014,Falcon Distribution Inc,PT750461,PT,supplier,2022-07-06,"Unit 25, Harbour Rd, PT",info14@cpty14.com,+36 231 1188,b9294334b7bc6013
CPTY00015,Silverline Holdings Co,IE380992,IE,supplier,2023-01-19,"Unit 7, Harbour Rd, IE",info15@cpty15.com,+23 922 5936,98115fdb592cc208
CPTY00016,Blue Anchor Exports Inc,NG972996,NG,buyer,2022-11-11,"Unit 9, Free Trade Ave, NG",info16@cpty16.com,+98 293 4162,d8cf516dd56281ea
CPTY00017,Brightwater Holdings Co,CA297621,CA,supplier,2024-09-29,"Unit 30, Commerce Blvd, CA",info17@cpty17.com,+16 458 6069,429d6c49b6388a7c
CPTY00018,Brightwater Trading Pte Ltd,TH188117,TH,buyer,2023-07-04,"Unit 11, Commerce Blvd, TH",info18@cpty18.com,+80 430 7943,f4b6ce5f8281063c
CPTY00019,Oakbridge Exports GmbH,AU873604,AU,buyer,2020-07-27,"Unit 10, Commerce Blvd, AU",info19@cpty19.com,+62 362 9208,443722b284a52b28
