case_id,hypothesis,evidence_for,evidence_against,evidence_needed_to_test,current_status
A,"H_A1: CL001 members are legitimately related entities (group subsidiaries) with shared group treasury banking","2 of 6 pairs have a declared shared_director relationship (source: regulatory_filing, higher reliability)","No independent verification available within this dataset's scope","External corporate registry lookup; confirmation of group structure","Plausible, untested - dataset cannot confirm or deny"
A,"H_A2: CUST00135 has an exclusive distribution/agency agreement with this counterparty group","100% transaction exclusivity is consistent with a single-agency commercial structure common for SME exporters","No contractual documentation available in this dataset","Copy of distribution/agency agreement; relationship-manager interview","Plausible, untested"
A,"H_A3: The relationship reflects undisclosed common control not captured in Entity_Relationships","Shared bank account is present across all 4 members, a stronger-than-address signal","2 of 6 pairs already have a DECLARED relationship, reducing the 'undisclosed' element for those pairs specifically","Independent beneficial-ownership verification (outside dataset scope)","Cannot be tested with available data - INTELLIGENCE GAP"
B,"H_B1: Same as H_A1 but for CL002 (CPTY00073/141/218/220)","1 of 6 pairs has a declared parent_subsidiary relationship, though source='declared' (self-reported, lower reliability than A's regulatory_filing)","Lower-provenance declaration than Case A weakens this specific reassurance","External corporate registry lookup","Plausible, untested, weaker provenance than Case A"
B,"H_B2: Exclusive agency/distribution arrangement","100% exclusivity, structurally identical to Case A","None specific","Distribution agreement documentation","Plausible, untested"
C,"H_C1: Value/weight outliers reflect ordinary within-category variance (premium vs standard goods)","No customer/counterparty concentration; spread across 17 of 18 product categories","Alert rate for the set (38.8%) is notably above baseline (16.0%), which a purely benign explanation would not obviously predict","Product-specialist review of a transaction sample","Partially supported; alert-rate elevation is unexplained"
C,"H_C2: Declared shipment weight is systematically under-captured for certain goods types","Value-per-kg metric is inherently noisy per Stage 5 finding (robust-z and IQR flagged 8-11x more transactions than the ratio method)","Not tested directly against a weight-capture completeness check","Cross-reference against Stage 3 date/completeness DQ log for this specific set (not yet done)","Untested - EVIDENCE GAP"
D1,"H_D1: TXN0004921 reflects a legitimate high-value bespoke furniture shipment","Furniture category has an unusually wide legitimate value range","Co-occurrence with a paid non-payment claim is notable, though claim reason is a standard commercial event type","Goods description/grade documentation","Plausible, untested"
D2,"H_D2: TXN0003415 is an ordinary bulk low-value commodity shipment","Weight (55,459kg) and value (9,512.77 GBP) profile is consistent with bulk agricultural commodity trade; absolute exposure is immaterial","None identified","None required for immaterial-value case","Supported - low concern"
E,"H_E1: INTM00038 is an ordinary large-scale freight-forwarder, not a risk hub","Own alert/claim rates match baseline exactly (16.01%/3.04% vs 16.0%/3.0%); maximum customer/counterparty diversity (180/260, i.e. all of them)","None identified","None required - already the leading and well-supported explanation","Well-supported by tested evidence"
