customer_id,legal_name,registration_number,incorporation_country,segment,onboarding_date,registered_address,primary_contact_email,primary_contact_phone,relationship_manager
CUST00001,Larkspur Trading Ltd,UK92832925,GB,Mid-market,2022-03-09,"89 Park Row, UK",contact1@customer1.co.uk,+44 20 9316 1149,A. Whitfield
CUST00002,Silverline Holdings Ltd,UK99021969,GB,SME,2022-07-27,"48 High St, UK",contact2@customer2.co.uk,+44 20 5979 9936,S. Bello
CUST00003,Coldwell Manufacturing Limited,UK96221076,GB,Mid-market,2016-11-24,"11 Kings Rd, UK",contact3@customer3.co.uk,+44 20 6199 6261,R. Nakamura
CUST00004,Westbrook Holdings Limited,UK60037247,GB,Mid-market,2022-08-04,"190 High St, UK",contact4@customer4.co.uk,+44 20 4493 2142,S. Bello
CUST00005,Greystone Commodities LLP,UK28043248,GB,SME,2015-12-26,"74 High St, UK",contact5@customer5.co.uk,+44 20 6153 9074,S. Bello
CUST00006,Fenwick Group LLP,UK85516274,GB,Corporate,2019-05-30,"186 Station Ave, UK",contact6@customer6.co.uk,+44 20 1819 8922,M. Osei
CUST00007,Falcon Holdings Limited,UK82146746,GB,Mid-market,2018-12-27,"152 Station Ave, UK",contact7@customer7.co.uk,+44 20 4735 5825,M. Osei
CUST00008,Ashford Exports Ltd,UK99128948,GB,Mid-market,2017-09-07,"131 Station Ave, UK",contact8@customer8.co.uk,+44 20 2488 6595,T. Ferreira
CUST00009,Wintercroft Overseas Ltd,UK68585309,GB,SME,2015-03-10,"2 Park Row, UK",contact9@customer9.co.uk,+44 20 2640 3458,R. Nakamura
CUST00010,Harborview Distribution Limited,UK22743629,GB,SME,2021-07-23,"148 Station Ave, UK",contact10@customer10.co.uk,+44 20 7493 1454,J. Carrington
CUST00011,Thornfield Imports Ltd,UK55261197,GB,SME,2017-11-07,"79 Park Row, UK",contact11@customer11.co.uk,+44 20 5024 6350,M. Osei
CUST00012,Ashford Trading Limited,UK50342104,GB,Mid-market,2020-08-15,"76 High St, UK",contact12@customer12.co.uk,+44 20 2188 3652,R. Nakamura
CUST00013,Sable Exports LLP,UK85865251,GB,SME,2018-06-26,"181 Kings Rd, UK",contact13@customer13.co.uk,+44 20 4091 6971,S. Bello
CUST00014,Northfield Textiles LLP,UK45331544,GB,Mid-market,2018-03-05,"21 Station Ave, UK",contact14@customer14.co.uk,+44 20 9789 8525,A. Whitfield
CUST00015,Northfield Trading Limited,UK39573343,GB,SME,2022-07-13,"47 Park Row, UK",contact15@customer15.co.uk,+44 20 2707 1163,R. Nakamura
CUST00016,Sable Industries Ltd,UK17204435,GB,SME,2015-10-21,"89 High St, UK",contact16@customer16.co.uk,+44 20 1467 6360,T. Ferreira
CUST00017,Rosewood Holdings LLP,UK85191088,GB,SME,2021-04-04,"190 Mill Lane, UK",contact17@customer17.co.uk,+44 20 2406 3081,M. Osei
CUST00018,Sable Overseas LLP,UK77979714,GB,SME,2021-05-06,"53 Station Ave, UK",contact18@customer18.co.uk,+44 20 8625 8864,M. Osei
CUST00019,Redwood Holdings Limited,UK13710493,GB,Mid-market,2018-03-25,"106 High St, UK",contact19@customer19.co.uk,+44 20 8550 3282,T. Ferreira
CUST00020,Falcon Distribution Limited,UK49040112,GB,SME,2017-03-25,"152 Mill Lane, UK",contact20@customer20.co.uk,+44 20 6576 6496,A. Whitfield
CUST00021,Copperfield Group LLP,UK53174631,GB,Mid-market,2015-01-17,"140 Park Row, UK",contact21@customer21.co.uk,+44 20 2667 5981,J. Carrington
CUST00022,Crestline Holdings Limited,UK52239423,GB,SME,2022-12-16,"122 Station Ave, UK",contact22@customer22.co.uk,+44 20 5726 4565,J. Carrington
CUST00023,Redwood Exports LLP,UK92703809,GB,Corporate,2023-01-19,"51 Kings Rd, UK",contact23@customer23.co.uk,+44 20 7764 7097,S. Bello
CUST00024,Rosewood Holdings Limited,UK23560567,GB,Mid-market,2017-01-17,"83 Park Row, UK",contact24@customer24.co.uk,+44 20 5793 7531,A. Whitfield
CUST00025,Falcon Freight LLP,UK37571004,GB,Mid-market,2015-04-10,"105 Kings Rd, UK",contact25@customer25.co.uk,+44 20 7867 6101,J. Carrington
CUST00026,Highgate Overseas Ltd,UK26283398,GB,SME,2016-01-16,"156 Park Row, UK",contact26@customer26.co.uk,+44 20 3408 7825,A. Whitfield
CUST00027,Ashford Logistics Limited,UK31967611,GB,SME,2015-07-29,"180 Kings Rd, UK",contact27@customer27.co.uk,+44 20 7457 9849,S. Bello
CUST00028,Brightwater Logistics Limited,UK91639325,GB,SME,2022-01-22,"142 Mill Lane, UK",contact28@customer28.co.uk,+44 20 2347 4773,R. Nakamura
CUST00029,Copperfield Overseas Limited,UK94664990,GB,SME,2022-07-30,"90 Kings Rd, UK",contact29@customer29.co.uk,+44 20 9317 5630,J. Carrington
CUST00030,Vantage Exports Limited,UK14018417,GB,Mid-market,2016-04-20,"23 Kings Rd, UK",contact30@customer30.co.uk,+44 20 9482 1112,J. Carrington
CUST00031,Stonebridge Commodities Limited,UK66888266,GB,Mid-market,2021-05-06,"110 Park Row, UK",contact31@customer31.co.uk,+44 20 1316 8163,A. Whitfield
CUST00032,Vantage Logistics LLP,UK30956705,GB,Corporate,2016-07-10,"173 High St, UK",contact32@customer32.co.uk,+44 20 4225 5681,T. Ferreira
CUST00033,Harborview Commodities LLP,UK27330496,GB,SME,2018-02-13,"136 High St, UK",contact33@customer33.co.uk,+44 20 4851 4671,R. Nakamura
CUST00034,Thornfield Industries LLP,UK36285339,GB,SME,2020-02-03,"135 Kings Rd, UK",contact34@customer34.co.uk,+44 20 9454 1846,M. Osei
CUST00035,Rosewood Exports LLP,UK27494831,GB,SME,2021-02-11,"90 Station Ave, UK",contact35@customer35.co.uk,+44 20 7949 9006,J. Carrington
CUST00036,Redwood Imports Limited,UK54117778,GB,SME,2022-06-06,"85 Park Row, UK",contact36@customer36.co.uk,+44 20 6916 4554,S. Bello
CUST00037,Thornfield Holdings Limited,UK99604955,GB,SME,2015-05-19,"107 Park Row, UK",contact37@customer37.co.uk,+44 20 2439 7142,S. Bello
CUST00038,Highgate Overseas LLP,UK62780064,GB,SME,2016-09-01,"128 Kings Rd, UK",contact38@customer38.co.uk,+44 20 5218 2344,J. Carrington
CUST00039,Delta Exports LLP,UK75091879,GB,SME,2017-05-20,"155 Mill Lane, UK",contact39@customer39.co.uk,+44 20 4236 9652,M. Osei
CUST00040,Copperfield Textiles Ltd,UK54396097,GB,Mid-market,2017-08-20,"107 High St, UK",contact40@customer40.co.uk,+44 20 3388 2605,R. Nakamura
CUST00041,Silverline Group Ltd,UK11251654,GB,SME,2023-06-24,"24 Mill Lane, UK",contact41@customer41.co.uk,+44 20 7137 2795,R. Nakamura
CUST00042,Oakbridge Manufacturing LLP,UK17570380,GB,Mid-market,2021-08-09,"38 Park Row, UK",contact42@customer42.co.uk,+44 20 9278 8729,R. Nakamura
CUST00043,Fenwick Holdings LLP,UK34198533,GB,Mid-market,2017-09-21,"171 Station Ave, UK",contact43@customer43.co.uk,+44 20 9850 9212,A. Whitfield
CUST00044,Northfield Global Limited,UK31930070,GB,SME,2023-04-04,"147 Mill Lane, UK",contact44@customer44.co.uk,+44 20 3193 2909,J. Carrington
CUST00045,Highgate Textiles Limited,UK85652151,GB,Mid-market,2019-03-30,"12 Kings Rd, UK",contact45@customer45.co.uk,+44 20 4083 5227,R. Nakamura
CUST00046,Larkspur Manufacturing Ltd,UK85922953,GB,Mid-market,2019-04-03,"99 Park Row, UK",contact46@customer46.co.uk,+44 20 8919 7600,T. Ferreira
CUST00047,Fenwick Global LLP,UK86870923,GB,SME,2018-09-07,"44 Mill Lane, UK",contact47@customer47.co.uk,+44 20 6799 8904,R. Nakamura
CUST00048,Crestline Global LLP,UK67382982,GB,SME,2016-03-22,"69 High St, UK",contact48@customer48.co.uk,+44 20 6812 4411,J. Carrington
CUST00049,Silverline Holdings Limited,UK60055583,GB,Mid-market,2022-12-09,"21 Kings Rd, UK",contact49@customer49.co.uk,+44 20 4716 5652,R. Nakamura
CUST00050,Marlow Imports LLP,UK68423413,GB,SME,2015-02-13,"17 High St, UK",contact50@customer50.co.uk,+44 20 1798 7674,M. Osei
CUST00051,Elmsworth Group LLP,UK46612619,GB,SME,2016-06-24,"70 Kings Rd, UK",contact51@customer51.co.uk,+44 20 6874 7579,A. Whitfield
CUST00052,Thornfield Textiles Ltd,UK70318292,GB,SME,2016-12-13,"111 High St, UK",contact52@customer52.co.uk,+44 20 5804 8045,S. Bello
CUST00053,Larkspur Manufacturing Ltd,UK81499846,GB,Mid-market,2017-05-16,"61 Mill Lane, UK",contact53@customer53.co.uk,+44 20 9546 6128,T. Ferreira
CUST00054,Blue Anchor Exports Limited,UK78661270,GB,Mid-market,2016-02-14,"192 Station Ave, UK",contact54@customer54.co.uk,+44 20 4999 1941,T. Ferreira
CUST00055,Silverline Logistics Ltd,UK65244729,GB,Mid-market,2015-02-25,"176 Kings Rd, UK",contact55@customer55.co.uk,+44 20 8007 9134,R. Nakamura
CUST00056,Delta Trading Limited,UK15229763,GB,Mid-market,2020-10-03,"90 Mill Lane, UK",contact56@customer56.co.uk,+44 20 7294 8789,A. Whitfield
CUST00057,Brightwater Imports LLP,UK75245448,GB,SME,2023-03-27,"177 Park Row, UK",contact57@customer57.co.uk,+44 20 8749 8182,T. Ferreira
CUST00058,Fenwick Industries LLP,UK42994754,GB,SME,2016-01-14,"192 Station Ave, UK",contact58@customer58.co.uk,+44 20 5525 1898,J. Carrington
CUST00059,Sable Group Limited,UK76930055,GB,SME,2017-07-09,"101 Mill Lane, UK",contact59@customer59.co.uk,+44 20 1029 2839,M. Osei
CUST00060,Brightwater Overseas Limited,UK58557468,GB,SME,2019-04-21,"196 Kings Rd, UK",contact60@customer60.co.uk,+44 20 4878 7691,T. Ferreira
CUST00061,Crestline Supplies LLP,UK89306719,GB,Mid-market,2022-11-18,"69 Park Row, UK",contact61@customer61.co.uk,+44 20 5101 1208,S. Bello
CUST00062,Northfield Group Ltd,UK40461083,GB,SME,2020-11-24,"77 Kings Rd, UK",contact62@customer62.co.uk,+44 20 2892 9812,S. Bello
CUST00063,Larkspur Textiles Limited,UK86003097,GB,SME,2021-07-05,"112 Kings Rd, UK",contact63@customer63.co.uk,+44 20 9891 4393,M. Osei
CUST00064,Highgate Industries Limited,UK39799631,GB,Mid-market,2019-12-09,"178 Park Row, UK",contact64@customer64.co.uk,+44 20 8244 7473,T. Ferreira
CUST00065,Sable Group Ltd,UK53431525,GB,SME,2018-07-18,"61 Mill Lane, UK",contact65@customer65.co.uk,+44 20 9380 8987,J. Carrington
CUST00066,Westbrook Industries Limited,UK57821322,GB,SME,2016-09-11,"196 Station Ave, UK",contact66@customer66.co.uk,+44 20 6658 4551,R. Nakamura
CUST00067,Stonebridge Supplies LLP,UK79176482,GB,SME,2022-05-05,"43 Mill Lane, UK",contact67@customer67.co.uk,+44 20 6639 3871,S. Bello
CUST00068,Stonebridge Distribution Ltd,UK72024145,GB,SME,2021-10-31,"124 Station Ave, UK",contact68@customer68.co.uk,+44 20 4132 6478,R. Nakamura
CUST00069,Falcon Freight Limited,UK86681395,GB,SME,2015-03-19,"5 Kings Rd, UK",contact69@customer69.co.uk,+44 20 6142 6228,M. Osei
CUST00070,Redwood Commodities Ltd,UK43288100,GB,SME,2021-01-28,"171 Kings Rd, UK",contact70@customer70.co.uk,+44 20 4461 4681,M. Osei
CUST00071,Thornfield Logistics Ltd,UK55431232,GB,SME,2015-09-19,"60 Kings Rd, UK",contact71@customer71.co.uk,+44 20 1091 6415,J. Carrington
CUST00072,Thornfield Manufacturing Limited,UK48777828,GB,SME,2021-04-12,"36 High St, UK",contact72@customer72.co.uk,+44 20 6181 9417,T. Ferreira
CUST00073,Stonebridge Freight Ltd,UK91859701,GB,Mid-market,2022-01-06,"70 Park Row, UK",contact73@customer73.co.uk,+44 20 5538 5208,S. Bello
CUST00074,Larkspur Logistics Limited,UK37448252,GB,SME,2016-02-11,"1 Kings Rd, UK",contact74@customer74.co.uk,+44 20 1609 2770,J. Carrington
CUST00075,Thornfield Global Limited,UK62841154,GB,SME,2018-09-08,"13 Mill Lane, UK",contact75@customer75.co.uk,+44 20 4041 4394,S. Bello
CUST00076,Falcon Distribution Limited,UK20814952,GB,SME,2016-01-20,"50 Station Ave, UK",contact76@customer76.co.uk,+44 20 4263 4546,S. Bello
CUST00077,Crestline Freight Limited,UK86524686,GB,SME,2019-10-27,"117 Station Ave, UK",contact77@customer77.co.uk,+44 20 7919 2179,J. Carrington
CUST00078,Elmsworth Trading LLP,UK44579615,GB,Mid-market,2022-11-18,"127 Mill Lane, UK",contact78@customer78.co.uk,+44 20 3990 2465,J. Carrington
CUST00079,Rosewood Global Limited,UK40653171,GB,SME,2015-09-08,"172 Mill Lane, UK",contact79@customer79.co.uk,+44 20 3769 7160,T. Ferreira
CUST00080,Northfield Commodities LLP,UK62462548,GB,Mid-market,2018-05-18,"190 Park Row, UK",contact80@customer80.co.uk,+44 20 1420 4054,R. Nakamura
CUST00081,Wintercroft Distribution Ltd,UK54893525,GB,Mid-market,2023-04-08,"118 Station Ave, UK",contact81@customer81.co.uk,+44 20 1213 9593,A. Whitfield
CUST00082,Northfield Exports Limited,UK86317867,GB,SME,2017-07-22,"51 Park Row, UK",contact82@customer82.co.uk,+44 20 7544 3192,S. Bello
CUST00083,Meridian Industries Limited,UK57826993,GB,Mid-market,2016-02-15,"134 Park Row, UK",contact83@customer83.co.uk,+44 20 2783 1890,R. Nakamura
CUST00084,Meridian Textiles Limited,UK56529519,GB,SME,2019-02-25,"54 Station Ave, UK",contact84@customer84.co.uk,+44 20 5255 7780,R. Nakamura
CUST00085,Larkspur Holdings Limited,UK19448174,GB,SME,2019-04-27,"94 High St, UK",contact85@customer85.co.uk,+44 20 6257 8928,S. Bello
CUST00086,Kestrel Global Limited,UK11974433,GB,SME,2020-08-18,"35 Mill Lane, UK",contact86@customer86.co.uk,+44 20 4094 3502,T. Ferreira
CUST00087,Redwood Imports Ltd,UK45869725,GB,Mid-market,2017-08-31,"64 High St, UK",contact87@customer87.co.uk,+44 20 5301 2818,M. Osei
