indicator_id,name,description,source_fields,calculation_logic,evidence_category,why_it_matters,innocent_explanation,false_positive_risk,weight_proposal,validation_check,allowed_in_framework
IND01,High alert concentration (volume-adjusted),Entity's alert rate is statistically elevated above the 16.0% portfolio base rate after requiring a minimum sample size,"alerts.subject_id, alerts.severity, transactions.customer_id/counterparty_id","binomial test vs base rate, n>=15, one-sided p<0.01; capped contribution regardless of how far above threshold",3 - Descriptive relationship (statistically tested),Existing monitoring system has independently and repeatedly flagged this entity's activity,"Legitimate complex trade pattern that happens to trip routine monitoring rules more often (e.g. higher-risk corridor mix by chance, larger transaction sizes)",Medium - alerts are themselves imperfect detectors with their own false-positive rate; concentration of alerts is not concentration of confirmed issues,3 points (capped) if p<0.01 and n>=15; 1 point if p<0.05 and n>=10,"Reproduced independently in SQL (Stage 4) and Python (Stage 5); stable under product-mix, corridor-mix, segment, and time-period controls",YES
IND02,Exclusive customer-counterparty cluster relationship,"A customer conducts an unusually large share (>=80%) of its transaction volume/value with a small, entity-resolution-linked counterparty cluster (n<=5 members)","transactions.customer_id/counterparty_id (network), entity-resolution cluster membership (Stage 6)",Share of customer's txn count AND value with cluster members >= 80%,2 - Derived analytical fact,"Concentration risk is elevated when nearly all business runs through a small, potentially-related counterparty set rather than a diversified customer base","Exclusive distributor/agency/franchise agreement; single-supplier or single-buyer relationship is a normal commercial structure, especially for SME exporters",Medium - exclusivity alone is common in legitimate small-business trade relationships,3 points (capped) if exclusivity >=95%; 2 points if 80-95%,Network view (Stage 6) cross-checked against entity-resolution cluster membership; re-verified transaction-level exclusivity independently,YES
IND03,Shared bank account (any),Two or more counterparties share an identical bank_account_hash value,counterparties.bank_account_hash,"Exact match, pairwise, self-join with id_a<id_b",2 - Derived analytical fact,Shared banking detail is one of the stronger entity-resolution signals - harder to collide coincidentally than an address string,Shared corporate treasury/holding company banking arrangement across legitimately separate subsidiaries,Low-Medium,2 points,Cross-checked against email/phone match (Stage 6) to rule out simple duplicate-data-entry explanation before scoring,YES
IND04,Shared bank account PLUS an independent attribute,"A shared-bank-account pair also shares registered_address, a declared relationship, or a near-duplicate name - i.e. Stage 6 'STRONG' classification","counterparties.bank_account_hash, registered_address, legal_name; entity_relationships",Stage 6 classification = STRONG AND does not also match on email/phone (i.e. excludes CL003-type duplicate signature),2 - Derived analytical fact,Convergence of two independent identifiers substantially reduces the coincidence explanation versus either alone,Same corporate family using shared registered-agent services and shared group banking,Low-Medium,"+1 bonus point on top of IND03 (i.e. STRONG pairs score 3 total, capped)","Explicit exclusion of email/phone-matching pairs (duplicate signature) from this indicator, per Stage 6 finding",YES
IND05,Declared relationship overlap (standalone),A counterparty pair has a declared Entity_Relationships edge but no shared bank account,entity_relationships.relationship_type/source,"Declared edge present, IND03 absent","7 (if source='regulatory_filing') or 4 (if source='declared', i.e. self-reported)","A documented corporate link, even without shared banking, is relevant context for network read-across",Ordinary declared group structure with no bearing on transaction risk,Low (it's a documented fact) but LOW RELEVANCE risk is high - a declared link by itself says little about transaction risk,1 point,"Distinguish source='regulatory_filing' (more reliable) from source='declared' (self-reported, lower reliability) - both scored the same here pending better provenance data",YES
IND06,Value/weight implausibility,Invoice value per declared shipment kg is a large multiple of the product category's average,"transactions.invoice_value, shipments.declared_weight_kg, products.product_category","ratio-vs-category-mean, threshold sensitivity-tested at 3x/5x/10x/20x/50x (Stage 5); framework uses the 3-method-STABLE set (ratio AND robust-z AND IQR agree) as the qualifying condition, not a single fixed cut",3 - Descriptive relationship (threshold-dependent),"May indicate mis-invoicing, mis-declared goods, or valuation manipulation","Legitimate high-value/low-weight goods (electronics, pharma actives), unit/currency entry variance, premium product variant",Medium-High - Stage 5 showed candidate count ranges 22 to 157 depending on method/threshold,2 points (capped) - only for the 85-transaction STABLE set common to all 3 detection methods,Threshold sensitivity table retained and shown alongside any flagged transaction - never presented as a single fixed number,YES
IND07,Third-party payer route,Final settlement leg paid by an entity other than the customer,payments.paying_entity_type,paying_entity_type != 'customer',1 - Observed fact,Occasionally associated with layering in genuine financial-crime typologies,"Factoring, group treasury consolidation, assigned receivables - all standard trade-finance practice",High - Stage 5 found the apparent 100% alert co-occurrence for this indicator is CIRCULAR (alert_type restates the same fact) and must not be double-counted,"1 point MAXIMUM - explicitly low/moderate per instruction, and must not be combined with any alert-based bonus for the same transaction",Confirmed circularity in Stage 5; framework scoring code explicitly excludes IND01 alert bonus from stacking with IND07 for the same transaction,"YES, capped low"
IND08,Claim with prior alert,A claim's underlying transaction had >=1 alert on record before the claim,"claims.transaction_id, alerts.subject_id/alert_date",EXISTS alert for the same transaction_id,"3 - Descriptive relationship (strong at portfolio level, not causal)",Combines two independent monitoring/outcome signals on the same transaction,"Both alerts and claims may independently reflect the same underlying transaction complexity or counterparty risk profile, without one causing the other","Medium - portfolio-level relationship is robust (Stage 5, chi2 p=1.2e-18) but any single instance could be coincidental",1 point,Portfolio relationship re-verified in Stage 5 across segment and value-band strata,YES
IND09,Date/data-quality issue exposure,"Entity's transactions are disproportionately affected by logged Stage 3 data-quality issues (date-logic errors, missing values)",data_quality_issues table; shipments/payments date-logic flags,Share of entity's transactions affected by a DQ0001/DQ0002-type issue vs portfolio rate,6 - Intelligence gap (NOT an aggravating risk signal),"Reduces confidence in any OTHER indicator computed on the same records - a caveat, not evidence of anything","Routine data entry error, system lag, incomplete shipment record","N/A - this indicator only ever REDUCES confidence, never increases priority",0 points; applied as a CONFIDENCE DISCOUNT modifier only,Cross-referenced against Stage 3 issue register by table/record,"YES, as a discount modifier only - never a positive score contributor"
IND10,Intermediary hub concentration,An intermediary handles a disproportionate share of portfolio transaction volume,transaction_intermediaries.intermediary_id,Share of distinct linked transactions handled by one intermediary,3 - Descriptive relationship (concentration is a fact; risk is not),COULD indicate a chokepoint entity of interest - but ONLY if combined with independent indicators on the SAME intermediary,"Ordinary large-scale freight-forwarder/correspondent-bank serving a broad, undifferentiated client base (this is what Stage 6 found for INTM00038)",Very high if scored on centrality alone - explicitly the trap this framework must not fall into,0 points from concentration alone. Only scores if the SAME intermediary independently shows an elevated alert/claim rate vs baseline (which INTM00038 does not: 16.01%/3.04% vs 16.0%/3.0% baseline),Stage 6 explicitly tested INTM00038's alert/claim rate against baseline and found no elevation - EXCLUDED from scoring on this basis,"YES, but gated - contributes 0 points unless a companion condition (elevated own alert/claim rate) is independently met"
