alert_id,alert_date,alert_type,severity,subject_type,subject_id,disposition,analyst_notes
ALRT0000001,2022-08-30,value_mismatch,high,transaction,TXN0002512,closed,Routine system-generated alert; no further linkage identified.
ALRT0000002,2022-12-20,documentation_gap,low,transaction,TXN0003980,open,Routine system-generated alert; no further linkage identified.
ALRT0000003,2024-08-14,late_shipment,medium,transaction,TXN0003484,open,Routine system-generated alert; no further linkage identified.
ALRT0000004,2022-05-22,documentation_gap,low,transaction,TXN0003617,open,Routine system-generated alert; no further linkage identified.
ALRT0000005,2022-09-30,late_shipment,low,transaction,TXN0003716,closed,Routine system-generated alert; no further linkage identified.
ALRT0000006,2024-12-18,unusual_routing,low,transaction,TXN0001516,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000007,2024-04-26,value_mismatch,low,transaction,TXN0000881,closed,Routine system-generated alert; no further linkage identified.
ALRT0000008,2024-09-29,unusual_routing,low,transaction,TXN0002019,open,Routine system-generated alert; no further linkage identified.
ALRT0000009,2023-05-30,late_shipment,medium,transaction,TXN0003380,open,Routine system-generated alert; no further linkage identified.
ALRT0000010,2022-05-05,third_party_payment,low,transaction,TXN0000883,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000011,2024-06-22,documentation_gap,low,transaction,TXN0001964,open,Routine system-generated alert; no further linkage identified.
ALRT0000012,2022-07-03,documentation_gap,medium,transaction,TXN0000853,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000013,2023-09-02,value_mismatch,low,transaction,TXN0004325,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000014,2022-09-01,high_value_threshold,low,transaction,TXN0001143,closed,Routine system-generated alert; no further linkage identified.
ALRT0000015,2024-01-26,late_shipment,high,transaction,TXN0003003,closed,Routine system-generated alert; no further linkage identified.
ALRT0000016,2022-08-15,high_value_threshold,low,transaction,TXN0004419,closed,Routine system-generated alert; no further linkage identified.
ALRT0000017,2025-02-02,repeat_counterparty_flag,low,transaction,TXN0005120,closed,Routine system-generated alert; no further linkage identified.
ALRT0000018,2024-11-12,documentation_gap,high,transaction,TXN0003954,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000019,2023-12-06,unusual_routing,low,transaction,TXN0003664,open,Routine system-generated alert; no further linkage identified.
ALRT0000020,2024-03-26,high_value_threshold,medium,transaction,TXN0000331,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000021,2022-04-15,third_party_payment,low,transaction,TXN0004565,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000022,2023-10-14,documentation_gap,medium,transaction,TXN0003225,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000023,2024-06-07,value_mismatch,low,transaction,TXN0005194,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000024,2025-01-03,repeat_counterparty_flag,medium,transaction,TXN0004347,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000025,2024-03-17,late_shipment,medium,transaction,TXN0003201,closed,Routine system-generated alert; no further linkage identified.
ALRT0000026,2024-03-31,repeat_counterparty_flag,low,transaction,TXN0001554,open,Routine system-generated alert; no further linkage identified.
ALRT0000027,2024-09-22,unusual_routing,low,transaction,TXN0001426,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000028,2024-03-25,third_party_payment,medium,transaction,TXN0003777,closed,Routine system-generated alert; no further linkage identified.
ALRT0000029,2023-12-07,unusual_routing,high,transaction,TXN0004381,open,Routine system-generated alert; no further linkage identified.
ALRT0000030,2022-09-04,repeat_counterparty_flag,medium,transaction,TXN0004743,open,Routine system-generated alert; no further linkage identified.
ALRT0000031,2023-03-05,unusual_routing,low,transaction,TXN0001292,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000032,2022-05-14,value_mismatch,low,transaction,TXN0004973,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000033,2023-02-04,documentation_gap,low,transaction,TXN0003408,closed,Routine system-generated alert; no further linkage identified.
ALRT0000034,2023-01-20,value_mismatch,low,transaction,TXN0005419,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000035,2024-04-14,unusual_routing,medium,transaction,TXN0000818,closed,Routine system-generated alert; no further linkage identified.
ALRT0000036,2024-09-29,documentation_gap,low,transaction,TXN0005792,open,Routine system-generated alert; no further linkage identified.
ALRT0000037,2022-12-21,value_mismatch,low,transaction,TXN0001367,open,Routine system-generated alert; no further linkage identified.
ALRT0000038,2023-07-13,value_mismatch,high,transaction,TXN0001225,open,Routine system-generated alert; no further linkage identified.
ALRT0000039,2024-02-15,high_value_threshold,low,transaction,TXN0002022,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000040,2022-02-26,value_mismatch,low,transaction,TXN0001416,open,Routine system-generated alert; no further linkage identified.
ALRT0000041,2024-06-12,value_mismatch,low,transaction,TXN0003202,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000042,2023-06-11,documentation_gap,medium,transaction,TXN0000738,closed,Routine system-generated alert; no further linkage identified.
ALRT0000043,2022-06-26,value_mismatch,low,transaction,TXN0003502,open,Routine system-generated alert; no further linkage identified.
ALRT0000044,2024-02-15,third_party_payment,low,transaction,TXN0004159,closed,Routine system-generated alert; no further linkage identified.
ALRT0000045,2023-04-24,high_value_threshold,low,transaction,TXN0005191,open,Routine system-generated alert; no further linkage identified.
ALRT0000046,2022-08-27,unusual_routing,low,transaction,TXN0002409,open,Routine system-generated alert; no further linkage identified.
ALRT0000047,2022-08-01,repeat_counterparty_flag,high,transaction,TXN0005233,open,Routine system-generated alert; no further linkage identified.
ALRT0000048,2023-11-08,repeat_counterparty_flag,medium,transaction,TXN0000912,open,Routine system-generated alert; no further linkage identified.
ALRT0000049,2022-12-29,documentation_gap,low,transaction,TXN0005413,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000050,2023-12-02,documentation_gap,low,transaction,TXN0004988,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000051,2023-01-21,high_value_threshold,medium,transaction,TXN0000407,open,Routine system-generated alert; no further linkage identified.
ALRT0000052,2024-03-26,documentation_gap,low,transaction,TXN0005411,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000053,2022-03-31,value_mismatch,low,transaction,TXN0005298,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000054,2022-07-22,third_party_payment,low,transaction,TXN0004733,closed,Routine system-generated alert; no further linkage identified.
ALRT0000055,2023-01-06,late_shipment,medium,transaction,TXN0001078,closed,Routine system-generated alert; no further linkage identified.
ALRT0000056,2023-06-26,unusual_routing,low,transaction,TXN0001823,closed,Routine system-generated alert; no further linkage identified.
ALRT0000057,2024-02-09,documentation_gap,low,transaction,TXN0003988,open,Routine system-generated alert; no further linkage identified.
ALRT0000058,2023-01-11,late_shipment,low,transaction,TXN0005892,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000059,2023-07-23,high_value_threshold,low,transaction,TXN0004389,closed,Routine system-generated alert; no further linkage identified.
ALRT0000060,2022-11-25,third_party_payment,low,transaction,TXN0004109,closed,Routine system-generated alert; no further linkage identified.
ALRT0000061,2024-01-18,repeat_counterparty_flag,low,transaction,TXN0002732,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000062,2024-12-17,third_party_payment,medium,transaction,TXN0003148,open,Routine system-generated alert; no further linkage identified.
ALRT0000063,2023-02-17,late_shipment,low,transaction,TXN0005543,open,Routine system-generated alert; no further linkage identified.
ALRT0000064,2022-11-21,unusual_routing,high,transaction,TXN0000584,escalated,Routine system-generated alert; no further linkage identified.
ALRT0000065,2022-05-15,third_party_payment,low,transaction,TXN0004876,open,Routine system-generated alert; no further linkage identified.
ALRT0000066,2023-03-27,repeat_counterparty_flag,medium,transaction,TXN0005098,open,Routine system-generated alert; no further linkage identified.
ALRT0000067,2022-07-18,late_shipment,low,transaction,TXN0002220,open,Routine system-generated alert; no further linkage identified.
ALRT0000068,2024-08-03,third_party_payment,low,transaction,TXN0003513,closed,Routine system-generated alert; no further linkage identified.
